plataforma,sample,jogo,genero,nota_do_usuarios,nota_do_site,distribuidor,desenvolvedor,quantos_possuem,quantos_desejam,numero_de_jogadores,ano_de_lancamento
ps2,1,tony_hawks_pro_skater_3,esporte,8.4,10,activision,neversoft_ent.,2380,329,2,2001
ps2,2,grand_theft_auto_san_andreas,aventura,9.2,9.2,rockstar_games,rockstar_north,56420,12907,2,2004
ps2,3,grand_theft_auto_vice_city,aventura,9.2,9.6,rockstar_games,rockstar_north,12481,1035,1,2002
ps2,4,nfl_2k3,esporte,8.2,9.6,sega,visual_concepts,398,58,2,2002
ps2,5,metal_gear_solid_2_sons_of__liberty,aventura,9.3,9.6,konami,kcej,8882,1329,1,2001
ps2,6,grand_theft_auto_iii,aventura,9.2,9.6,rockstar_games,dma_design,8855,739,1,2001
ps2,7,tekken_tag_tournament,luta,9,9.6,namco,namco,2462,466,4,2000
ps2,8,burnout_3_takedown,corrida,9.3,9.5,ea_games,criterion_games,5230,1982,16,2004
ps2,9,tony_hawks_pro_skater_4,esporte,9,9.5,activision,neversoft_ent.,2016,251,8,2002
ps2,10,nfl_2k2,esporte,8.2,9.5,sega,visual_concepts,187,21,8,2001
ps2,11,twisted_metal_black,aventura,8.8,9.5,scea,incognito,1930,511,4,2001
ps2,12,ssx_tricky,esporte,8.8,9.4,ea_sports,big,817,125,2,2001
ps2,13,gran_turismo_3_aspec,corrida,9,9.4,scea,polyphony_digital,5446,417,2,2001
ps2,14,ssx,esporte,8.8,9.4,ea_sports,big,817,125,2,2000
ps2,15,resident_evil_4,aventura,9.5,9.3,capcom,capcom,16292,4679,1,2005
ps2,16,god_of_war,aventura,9.5,9.3,scea,scea,20462,6323,1,2005
ps2,17,world_soccer_winning_eleven_8_international,esporte,9.2,9.3,konami,kcet,1080,478,8,2005
ps2,18,freedom_fighters,tiro,8.9,9.3,ea_games,io_interactive,1396,506,4,2003
ps2,19,espn_nfl_football,esporte,8.3,9.3,sega,visual_concepts,374,49,16,2003
ps2,20,virtua_fighter_4,luta,8.5,9.3,sega,sega_am2,771,143,2,2002
ps2,21,final_fantasy_x,rpg,9.3,9.3,square_ea,squaresoft,17742,2334,1,2001
ps2,22,nba_street,esporte,8.8,9.3,eletronic_arts,nufx,833,95,2,2001
ps2,23,god_of_war_ii,aventura,9.5,9.2,scea,scea,18878,9569,1,2007
ps2,24,tekken_5,luta,9.1,9.2,namco,namco,9259,4090,2,2005
ps2,25,madden_nfl_2004,esporte,8.6,9.2,ea_sports,ea_sports,457,34,8,2001
ps2,26,virtua_fighter_4_evolutioin,luta,8.7,9.2,sega,sega_am2,1078,337,2,2003
ps2,27,madden_nfl_2002,esporte,8.6,9.2,ea_sports,ea_sports,457,34,8,2001
ps2,28,world_soccer_winning_eleven_9,esporte,9.1,9.2,konami,konami,1654,381,8,2006
ps2,29,burnout_revenge,corrida,9.2,9.1,eletronic_arts,criterion_games,5766,1933,2,2005
ps2,30,nba_street_v3,esporte,9.1,9.1,ea_sports_big,ea_canada,1946,1095,6,2005
